,TCGA-DA-A3F3-06A-11R-A20F-07.bed,TCGA-EE-A3JI-06A-11R-A21D-07.bed,TCGA-EE-A2GU-06A-11R-A18T-07.bed,TCGA-EE-A2GB-06A-11R-A18T-07.bed,TCGA-EE-A29N-06A-12R-A18S-07.bed,TCGA-FS-A1ZK-06A-11R-A18T-07.bed,TCGA-EE-A3AG-06A-31R-A18S-07.bed,TCGA-EE-A2GD-06A-11R-A18T-07.bed,TCGA-EE-A2MD-06A-11R-A18T-07.bed,mean
ENSG00000112208:E1.1-E2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000112200:E6.1-E10.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000112200:E20.1-E21.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000112200:E2.11-E3.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000112200:E2.11-E3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000112200:E19.2-E20.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000112200:E18.1-E19.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000112200:E17.1-E18.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000125676:E31.2-E32.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
burden,5601.0,5641.0,5653.0,5693.0,5716.0,5949.0,6222.0,6418.0,6700.0,2858.5
