,TCGA-EB-A82B-01A-11R-A352-07.bed,TCGA-GF-A4EO-06A-12R-A24X-07.bed,TCGA-D3-A1Q8-06A-11R-A18T-07.bed,TCGA-FS-A1YY-06A-11R-A18T-07.bed,TCGA-WE-A8ZM-06A-11R-A37K-07.bed,TCGA-WE-A8ZN-06A-11R-A37K-07.bed,TCGA-FW-A3TV-06A-11R-A239-07.bed,TCGA-XV-AAZV-01A-11R-A40A-07.bed,TCGA-DA-A1I1-06A-12R-A18U-07.bed,TCGA-ER-A2NC-06A-11R-A18T-07.bed
ENSG00000156398:E29.4-E31.1,1,1,0,2,3,0,3,0,2,3
ENSG00000095585:E8.1-E9.1,11,35,15,11,0,1,6,27,22,65
ENSG00000131069:E6.3-E10.2,39,99,98,71,64,9,86,49,77,34
ENSG00000171132:E14.1-E15.1,12,3,13,1,6,0,13,1,3,2
ENSG00000010278:E4.1-E6.1,69,5,146,149,54,27,47,68,13,26
ENSG00000214944:E40.1-E41.1,1,1,6,10,1,0,1,2,0,2
ENSG00000179912:E20.5-E27.1_57422959,0,2,4,2,0,0,2,0,2,3
ENSG00000186642:E9.2-E10.1,2,0,6,2,13,1,2,2,4,2
ENSG00000137497:E28.1-E29.1,265,110,95,221,349,157,200,111,221,115
ENSG00000114982:E22.1-E24.2,68,45,71,112,75,17,106,24,96,114
